Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,sbd
8.2,8.75,,,7.75,5.25,4.25,9.4,,51000308
7.6,6.5,,,4.5,7.25,7,8.2,,51000309
6.4,7,6.5,7.5,,,,8.4,8.75,51000310
8,6.5,,,5.5,6.5,5.5,7.2,,51000311
5.6,8,8.5,9,,,,6.8,8.5,51000312
6.2,6.5,,,4,6.5,5.25,7.2,,51000313
7,7,5.75,7,,,,8.6,9,51000315
7.4,8.25,5.75,8.5,,,,8,9.5,51000314
8,9,4.5,7,,,,8,8.5,51000316
8.4,7.25,,,7,8,4.75,8.6,,51000317
6.8,7.75,8,8.5,,,,7.4,9.75,51000318
8.2,7.25,,,4.25,8,8,9.2,,51000320
8,7.75,,,6.25,8.25,8.5,7.4,,51000319
6,7.5,7.75,,,,,,,51000322
7.8,8,8,8.75,,,,5.2,9,51000321
8.6,6.75,,,7.25,4.75,4.25,8.4,,51000323
8.2,7.75,5.75,8,,,,6,8,51000324
8,8,5,7.5,,,,7.8,9.25,51000326
7.4,8.25,8.25,7.75,,,,9.4,6.75,51000325
7.8,5.5,,,5.75,6,4.5,4.4,,51000328
9,8.25,,,6.75,6.25,6.75,9.2,,51000329
5.8,6.5,2.5,6,,,,2.8,6,51000330
7,7,5,7.75,,,,9.4,8.5,51000327
3.8,5.25,3.25,6.25,,,,3.4,6.75,51000331
8.2,7.75,8,8.5,,,,8.8,7.5,51000332
6.8,7.25,7,,,,,,,51000333
,8,4.75,5.5,,,,,,51000334
8,6.5,,,8.25,7.5,7,7.6,,51000335
8.6,8.5,7.5,8.75,,,,9.2,9.25,51000336
5.4,6.75,,,5.25,6.25,5,8.6,,51000337
8,9,4.25,7.25,,,,7.8,9,51000338
7.8,8.5,,,7,5,5.25,8.2,,51000339
7.4,7,6,6.25,,,,6.6,7,51000340
7.4,8.25,,,6,6.75,7.5,7,,51000342
5,5.25,4.5,5.25,,,,,,51000341
6.8,8,4,5.25,,,,7.8,8.25,51000344
7.6,7,,,7.75,8.5,5.5,8.4,,51000343
8,7.25,,,4,7.75,8,8.6,,51000345
4.4,6.5,3.25,6,,,,3,5.25,51000346
4.2,5.25,3.75,7.25,,,,,,51000348
2.8,,2.5,5.5,,,,2.4,4.5,51000347
8.2,8.25,8.5,8.75,,,,6.6,9.25,51000351
8.4,6.25,,,7.5,6.5,5.5,8.4,,51000349
7.4,8.25,7.75,8,,,,8.6,9.25,51000350
6.2,5.5,,,5.5,6,4.75,6.2,,51000352
7.8,7.75,5.5,8.25,,,,9.2,9.25,51000353
8.8,7.5,7.5,8.75,,,,9.6,9.5,51000354
8.6,6.5,,,5.5,8.75,8.25,7.6,,51000356
6.6,8,7.5,7.5,,,,6,8.25,51000355
7.6,9,8.5,8.25,,,,8,8.75,51000357
3.6,,,,,,,1.2,,51000359
8.4,5.25,,,8,7.25,6.25,6,,51000358
5.6,3.75,4.25,6.5,,,,,,51000361
3.4,6.5,6.5,6.75,,,,,,51000362
7.4,8.25,5.5,6.5,,,,7.6,8,51000360
8.6,,,,,8.25,9.75,,,51000363
8.8,8.25,,,8,5.75,5.5,8.8,,51000364
5.8,7.25,5.75,8,,,,6.2,7.75,51000365
7.8,7.25,5,6.5,,,,9.2,8.75,51000367
7.8,6,,,6.25,5.25,3.5,8.8,,51000366
7.4,5.75,,,5.75,7.25,6.75,7.2,,51000369
6.6,6.75,8,7.25,,,,,,51000368
8,8,6.75,7.5,,,,8.4,8.25,51000370
6.2,5,6.75,8.25,,,,,,51000371
7.8,7.75,6,7.25,,,,9.2,8.5,51000372
5.8,8,6.75,5.75,,,,6.6,7.25,51000373
7.6,8.5,6.75,7,,,,9.2,8.75,51000375
8.2,7.5,6.75,7.5,,,,8.4,8.75,51000374
3.8,5.5,5.75,7.25,,,,2.8,7.25,51000376
8.2,5,,,5.75,7,8,6.4,,51000377
8.6,7,,,6,4,4.75,9.4,,51000378
5.8,5.25,6.5,7,,,,8.8,8,51000379
8.6,8,,,8,7,7.75,6.2,,51000380
5.4,6.75,5.75,7,,,,,,51000381
5.2,7.5,7.25,7.5,,,,6.4,9.25,51000382
8,8.25,4.75,7,,,,7.8,6.75,51000383
6.6,6.5,4.25,7,,,,8.2,9.5,51000384
7.4,7.75,6,,,,,,,51000385
7.4,7.25,,,7,6.5,4.75,3.2,,51000386
6.2,8,8.25,7.75,,,,8.8,9.75,51000387
6.4,8.75,8.25,8.75,,,,7.6,9,51000388
8.2,8,,,7.25,8.75,5,3.2,,51000389
8.4,8,,,6,8.75,5,9.2,,51000390
7.6,8.25,,,6,7.5,7.25,8.2,,51000391
8,6.75,,,4.5,8.5,8.25,8.2,,51000394
8.6,6.5,,,7.25,6.5,5.5,9.4,,51000392
7.8,8.25,5.5,7.75,,,,7.2,8.25,51000393
8,7.75,,,6.5,8.25,4,8.4,,51000395
7.6,8.25,,,4.5,7,7.5,8.6,,51000396
7.6,7.5,7.5,7.5,,,,8.6,9.25,51000397
7.4,7,,,8,7.75,5.5,6.8,,51000398
8.8,7.5,,,8.25,5.25,6.75,8.6,,51000400
6.6,8.75,4.75,8,,,,8.4,7.75,51000399
8.6,6.25,,,8,2.75,3.25,9.2,,51000401
5.2,8.75,8.25,8.5,,,,7.2,7.75,51000402
7.4,6.25,5.75,8.25,,,,6.6,9.5,51000403
8.2,6.75,,,8.5,7.75,5.75,5.8,,51000404
8.2,,,,7.75,8,,,,51000405
7.8,6.5,,,6.5,4.75,4.25,8.2,,51000406
8.2,7.25,,,6.25,3.5,4.5,9.2,,51000407
7,8.75,7,8.5,,,,7.8,9.5,51000408
6.8,8,,,7,7.5,4.25,7.8,,51000409
7,8.25,6,6.25,,,,9.4,8.75,51000411
7.8,8.5,6.25,8.25,,,,9.4,8.75,51000410
8.4,7.75,,,7.75,5.75,6,9,,51000412
7.6,6,,,6.25,7.5,2,8,,51000413
7.6,8,,,3,7,6.75,6,,51000414
8.6,7,,,6.5,6.5,4.5,4.8,,51000415
8,7.75,,,7.75,7.75,5.75,9,,51000416
6,8.5,7.75,8,,,,7.4,8,51000417
7.6,8.75,5,8.25,,,,8.6,9.25,51000418
5.8,7.75,4.5,7,,,,6.4,9.25,51000419
8.2,6.25,,,3.75,7.5,5.5,3.8,,51000420
5.8,5.5,4,,,,,,,51000421
5.6,6.25,6,7.5,,,,8.8,7.5,51000422
8,5.5,,,4,8,9.25,4.2,,51000423
5.4,6,7,8,,,,5.2,9.5,51000424
8.4,8.25,,,6,5,5,9,,51000425
4.6,5.5,5.5,7,,,,2.6,7.5,51000426
8.2,6,,,6.25,8.25,8,4,,51000427
8.2,7,,,8.5,4.75,5.5,9,,51000428
,5.25,8,8,,,,,,51000429
8.4,5.5,,,5.75,8.75,5.5,7.2,,51000430
,8,8.75,7,,,,,,51000431
7.8,6.5,,,6.75,3.75,4.25,8.8,,51000432
9,7.75,,,4,7.75,8.5,8.8,,51000433
5.4,8.25,5.5,8.25,,,,6,9,51000434
8.2,4,,,5.5,8,7,7,,51000435
9,8.25,9.25,8.25,,,,9.4,8.25,51000436
6,7.08,4.5,6.75,,,,7.2,7.5,51000437
8.6,3.5,,,3.75,6.5,3.75,8.6,,51000438
5.4,4.75,4,6,,,,,,51000439
6.4,7.75,9.25,8.75,,,,9.2,9,51000440
7.6,6.75,,,7.25,4.5,6.5,9,,51000442
8.2,6.5,4.25,7,,,,7.8,8.75,51000441
7.6,7,7.75,7.25,,,,9.4,9,51000443
7.2,6.5,,,5.75,3,3,8.6,,51000444
8.8,5.75,,,2.75,8,7.75,9.2,,51000445
6.6,7.25,3.75,6.25,,,,6.6,8,51000446
7,8.5,7.25,7.5,,,,8.8,8.75,51000447
6.8,8.75,8.75,9.5,,,,9.4,9.25,51000448
7.2,6.25,,,6.5,4.5,5.25,8.8,,51000449
7,8.25,,,7.75,5,5,8.6,,51000450
8.6,5.75,8.5,7.25,,,,5,8.75,51000451
8,7.83,,,6.75,6.75,3.75,8.6,,51000452
8.2,6.75,,,8,8.25,5.75,6.6,,51000453
7.8,8.5,,,5.25,8,5.75,8.6,,51000454
4.2,2.5,2.25,6,,,,,,51000455
4,6.25,6.75,6.75,,,,2.2,7.5,51000456
5.8,6.25,6,6.5,,,,2.8,9.75,51000457
7.6,7.33,,,5.75,2.75,5,7,,51000458
7.6,7.5,,,5.75,8.25,8,8.2,,51000459
8.2,6.75,,,7.75,8.25,4.5,8.8,,51000460
5.8,8,7.5,6.75,,,,3.8,8.5,51000461
8,8.5,4.25,6.5,,,,8.6,8.25,51000462
7.8,8.5,7.75,7.5,,,,9.4,9.75,51000463
7.6,9,4.25,7.75,,,,6.8,7,51000464
7.6,7.75,5,7.75,,,,8.8,9,51000465
7.8,6.33,6.25,8,,,,5.8,8.75,51000466
7.8,7,,,5,8.25,7,5.8,,51000467
8,6.75,,,4,8.5,7.75,8,,51000468
8,8.75,5.5,7.25,,,,8.4,9,51000471
5.4,6.25,4.75,6.75,,,,2.8,9.5,51000469
8.2,6.5,,,6.5,6,5.25,3.8,,51000470
6,7.5,,,5.25,6.25,7,7.2,,51000472
7.8,7.25,,,6,2.75,5,7,,51000473
8.2,7.5,,,7,8,7.25,9.2,,51000474
8.6,,,,8,8.75,,,,51000475
6,5.75,6.25,7.75,,,,2.4,8,51000476
8.2,8.5,,,8.5,7.75,5,7.8,,51000477
5.4,3.25,2,5.5,,,,,,51000479
6.8,6,,,7,4.5,4.5,7.2,,51000478
9,8.5,6,6,,,,8,9,51000480
8.6,8.5,5.5,8.25,,,,9.2,6.75,51000481
5,3.75,3.5,5.25,,,,2.4,5.5,51000482
8.2,5,,,6.5,5.75,4.5,9,,51000483
8,7.75,,,7.25,8.25,8.75,7.2,,51000484
7.6,9,7,8,,,,9.4,9.5,51000485
5.2,5,6,7,,,,2.4,7.75,51000487
6,5.5,4.75,6.5,,,,3.4,9.25,51000486
8.6,7.5,,,8.25,7,4.5,6.6,,51000488
8.6,6.75,,,4.5,7.5,8.5,8.2,,51000490
8.8,7.5,,,5.25,6,7.5,6,,51000489
3.8,5.25,3.25,6,,,,1.8,6.25,51000492
7.6,8.75,7.75,8.25,,,,9.4,9.75,51000491
7.4,7.5,5.5,8,,,,7.8,8.5,51000493
7.6,8.75,6.5,8.75,,,,8.4,8.75,51000495
8,7.5,,,6.5,8.25,5.75,8,,51000494
6.8,6,3.5,7.75,,,,7,8,51000496
8,5.75,,,4,7.75,6.75,6.8,,51000497
7.2,9,7,7.75,,,,10,9,51000498
7.2,8.25,6,7.75,,,,8,9,51000499
8,7.25,,,5.25,7.75,8.25,9,,51000500
7.2,6.75,,,4,7.5,6.75,5.6,,51000501
8.2,8.75,,,7.75,4.5,5,8.2,,51000502
7.4,7.75,4.75,7,,,,6.2,8.75,51000503
8.4,5.25,,,5.5,7.5,5.5,9.6,,51000504
7.4,7.75,5.75,7.5,,,,8.2,8,51000505
